anchor,positive,negative,anchor,positive,negative,anchor,positive,negative,anchor,positive,negative,anchor,positive,negative
64522,110777,48444,Hip-Hop,Hip-Hop,Pop,11626,17152,9279,13476,16031,7337,[21],[21],"[362, 10]"
128668,108847,117472,Hip-Hop,Hip-Hop,Pop,19401,16894,18040,17125,16031,6337,[21],[21],"[10, 76]"
114274,64989,139775,Hip-Hop,Hip-Hop,Instrumental,17607,11726,21032,18587,13533,22389,"[811, 21]","[811, 21]","[18, 1235]"
91318,75752,37779,Hip-Hop,Hip-Hop,Experimental,15119,13285,7577,17014,12271,9034,[21],"[539, 21]","[38, 6]"
146148,142091,94635,Hip-Hop,Hip-Hop,Pop,21837,18166,15504,23260,19803,15460,[21],[21],"[10, 76]"
75749,29602,40655,Hip-Hop,Hip-Hop,Instrumental,13285,6315,8055,12271,7371,9568,"[539, 21]",[21],"[18, 1235]"
79610,110082,86634,Hip-Hop,Hip-Hop,Pop,13668,17048,14589,15701,16031,16630,[21],[21],[10]
22094,134509,129624,Hip-Hop,Hip-Hop,Experimental,4879,20192,19531,5846,21888,21362,[21],[21],"[32, 38, 47]"
116390,149623,118484,Hip-Hop,Hip-Hop,Experimental,17918,22310,18152,8693,23687,20000,"[811, 21]","[539, 580, 21]",[38]
145744,69561,53586,Hip-Hop,Hip-Hop,Folk,21775,12353,10010,18872,14261,77,[21],[21],[17]
113032,108494,127207,Hip-Hop,Hip-Hop,Instrumental,17421,16872,19229,19302,18880,21071,[21],"[539, 21]","[267, 1235]"
11773,98580,4075,Hip-Hop,Hip-Hop,International,2898,15949,2216,3089,15196,1134,[21],"[539, 21]","[2, 46]"
119985,11921,4097,Hip-Hop,Hip-Hop,International,18314,2905,1678,20156,3070,1140,[21],[21],"[2, 117, 118, 130]"
10699,112483,133272,Hip-Hop,Hip-Hop,Rock,2645,17354,20043,2631,16031,21772,[21],[21],"[26, 12]"
98554,146727,135370,Hip-Hop,Hip-Hop,Rock,15947,21896,20311,12271,23348,21958,"[539, 21]",[21],"[66, 12, 98]"
14363,147269,148218,Hip-Hop,Hip-Hop,Folk,3344,21966,22097,3967,22006,22428,"[100, 21]",[21],"[33, 17, 103]"
98565,5264,83612,Hip-Hop,Hip-Hop,Instrumental,15948,1132,14126,15196,618,2631,"[539, 21]",[21],"[107, 18, 1235]"
75747,146725,5171,Hip-Hop,Hip-Hop,Folk,13285,21896,1814,12271,23348,1625,"[539, 21]",[21],[17]
72129,10696,66638,Hip-Hop,Hip-Hop,Electronic,12793,2645,11957,14456,2631,13889,[21],[21],"[42, 468, 15]"
138212,108809,73367,Hip-Hop,Hip-Hop,Electronic,20771,16889,12984,14456,18921,8538,[21],[21],"[42, 495, 15]"
71175,71173,4450,Hip-Hop,Hip-Hop,Folk,12630,12630,986,11213,11213,1344,"[811, 21]","[811, 21]",[17]
26016,68531,1704,Hip-Hop,Hip-Hop,Folk,4918,12253,434,4454,3593,278,[21],[21],[17]
30050,72134,129875,Hip-Hop,Hip-Hop,International,6391,12793,19574,7473,14456,21420,[21],[21],"[2, 79]"
145751,110777,11200,Hip-Hop,Hip-Hop,Pop,21776,17152,2749,16031,16031,2881,[21],[21],[10]
75401,63874,73761,Hip-Hop,Hip-Hop,International,13248,11532,13057,12271,3593,15012,"[539, 21]",[21],"[130, 2]"
97043,55101,133019,Hip-Hop,Hip-Hop,Electronic,15739,10277,20018,17784,12085,20146,"[539, 21]","[811, 21]","[42, 468, 15]"
114265,146150,3272,Hip-Hop,Hip-Hop,Folk,17607,21837,1705,18587,23260,417,"[811, 21]",[21],[17]
55124,36984,60873,Hip-Hop,Hip-Hop,International,10278,7492,11137,12085,6274,10174,"[811, 21]",[21],"[130, 2, 741]"
71225,71250,1688,Hip-Hop,Hip-Hop,International,12637,12639,429,14543,14544,1259,"[100, 21]","[100, 21]",[2]
128668,110777,12530,Hip-Hop,Hip-Hop,Pop,19401,17152,3011,17125,16031,3377,[21],[21],[10]
154306,108493,107249,Hip-Hop,Hip-Hop,International,22780,16872,16703,23208,18879,18747,"[811, 539, 21]","[539, 21]","[2, 741, 130]"
37423,36984,87070,Hip-Hop,Hip-Hop,Electronic,7524,7492,14644,8972,6274,16673,"[539, 21]",[21],"[337, 42, 15]"
64625,98583,107532,Hip-Hop,Hip-Hop,Instrumental,11651,15949,16743,13493,15196,18775,"[811, 21]","[539, 21]","[107, 1235]"
43868,98553,46846,Hip-Hop,Hip-Hop,Pop,8608,15947,8994,10230,12271,1939,"[811, 21]","[539, 21]",[10]
43868,75376,1066,Hip-Hop,Hip-Hop,Experimental,8608,13247,290,10230,12271,10,"[811, 21]",[21],"[38, 22]"
63874,141567,108456,Hip-Hop,Hip-Hop,Pop,11532,21277,16866,3593,22568,18873,[21],"[100, 21]",[10]
145742,64629,14744,Hip-Hop,Hip-Hop,Rock,21775,11651,3430,18872,13493,4120,[21],"[811, 21]",[12]
71240,113033,145043,Hip-Hop,Hip-Hop,Experimental,12639,17421,21645,14544,19302,11234,"[100, 21]",[21],"[32, 250, 38]"
11791,123439,109543,Hip-Hop,Hip-Hop,Electronic,2898,18671,16993,3089,20648,19015,[21],"[539, 100, 21]","[42, 15]"
114272,111934,129403,Hip-Hop,Hip-Hop,International,17607,17282,19510,18587,19201,21299,"[811, 21]","[539, 21]","[602, 2, 79]"
129904,114049,83960,Hip-Hop,Hip-Hop,Experimental,19576,17582,14171,21421,19459,16234,"[539, 21]",[21],"[32, 38]"
57823,123979,130349,Hip-Hop,Hip-Hop,Folk,10661,18752,19628,12533,20707,21491,"[811, 21]","[539, 21]",[17]
112486,75428,107388,Hip-Hop,Hip-Hop,Rock,17355,13250,16717,16031,12271,18754,[21],"[539, 21]","[101, 12, 109, 25, 31]"
7482,75418,69196,Hip-Hop,Hip-Hop,Electronic,2095,13250,12330,1953,12271,14210,[21],"[539, 21]","[296, 400, 182, 15]"
71228,146152,97393,Hip-Hop,Hip-Hop,Electronic,12637,21837,15783,14543,23260,11574,"[100, 21]",[21],"[400, 42, 182, 15]"
11768,64994,41961,Hip-Hop,Hip-Hop,Rock,2898,11726,8254,3089,13533,9884,[21],"[811, 21]","[58, 12, 98]"
150287,20469,110928,Hip-Hop,Hip-Hop,Folk,22410,4612,17160,16031,5443,19109,[21],[21],"[17, 103]"
72136,55101,94102,Hip-Hop,Hip-Hop,Rock,12793,10277,15461,14456,12085,17370,[21],"[811, 21]","[66, 359, 12, 111, 25]"
24432,110779,126505,Hip-Hop,Hip-Hop,Experimental,5347,17152,19119,6274,16031,15896,[21],[21],"[1, 125, 38]"
75926,56496,60074,Hip-Hop,Hip-Hop,Experimental,13303,10440,11023,15323,4035,12904,"[811, 21]","[811, 21]","[32, 38, 247]"
149690,110778,87186,Hip-Hop,Hip-Hop,Pop,10174,17152,14663,11979,16031,16692,[21],[21],[10]
121322,71253,44806,Hip-Hop,Hip-Hop,Pop,18416,12639,8699,20304,14544,10296,"[811, 539, 100, 21]","[100, 21]",[10]
75380,141735,13539,Hip-Hop,Hip-Hop,International,13247,17087,3192,12271,12271,3683,[21],"[539, 21]","[2, 92, 214]"
11781,65745,32333,Hip-Hop,Hip-Hop,Pop,2898,11836,6743,3089,13729,7949,[21],[21],[10]
63770,149124,100550,Hip-Hop,Hip-Hop,Electronic,11515,22221,16114,7473,11979,17128,[21],[21],"[184, 42, 15]"
11861,142360,122397,Hip-Hop,Hip-Hop,Rock,2901,21372,18530,3094,16031,20481,"[539, 21]",[21],"[404, 12, 85]"
72468,24429,55242,Hip-Hop,Hip-Hop,International,12887,5347,10291,11213,6274,9169,[21],[21],"[2, 79]"
75401,107031,129439,Hip-Hop,Hip-Hop,Folk,13248,16672,19517,12271,12085,21300,"[539, 21]",[21],"[17, 103]"
89859,6605,14586,Hip-Hop,Hip-Hop,Instrumental,14962,2011,3371,16894,1882,129,"[539, 21]",[21],"[18, 1235]"
16162,89859,94035,Hip-Hop,Hip-Hop,Instrumental,3710,14962,15448,4454,16894,17361,[21],"[539, 21]","[107, 1235]"
13748,110765,84777,Hip-Hop,Hip-Hop,Electronic,3230,17152,14296,3771,16031,16378,[21],[21],"[181, 182, 15]"
119941,57821,6674,Hip-Hop,Hip-Hop,Experimental,18304,10661,1883,20153,12533,1771,"[539, 21]","[811, 21]","[32, 38]"
98620,43863,5158,Hip-Hop,Hip-Hop,Folk,15953,8608,1814,17784,3738,1625,"[539, 21]","[811, 21]",[17]
14358,6439,11268,Hip-Hop,Hip-Hop,Rock,3341,1996,2769,3959,706,2912,[21],[21],"[89, 12, 25]"
6608,22295,112789,Hip-Hop,Hip-Hop,Experimental,2011,4918,17387,1882,4454,19268,[21],[21],"[32, 38]"
75935,86679,118953,Hip-Hop,Hip-Hop,Instrumental,13303,14597,18211,15323,8665,20112,"[811, 21]",[21],"[18, 1235]"
98547,14358,55294,Hip-Hop,Hip-Hop,Pop,15947,3341,10295,12271,3959,9367,"[539, 21]",[21],[10]
140620,144173,118484,Hip-Hop,Hip-Hop,Experimental,21154,21557,18152,16031,14543,20000,[21],"[539, 100, 21]",[38]
146725,10694,12061,Hip-Hop,Hip-Hop,Folk,21896,2645,2931,23348,2631,77,[21],[21],[17]
57822,110743,55236,Hip-Hop,Hip-Hop,International,10661,17152,10291,12533,16031,9169,"[811, 21]",[21],"[2, 79]"
110776,98567,1644,Hip-Hop,Hip-Hop,Pop,17152,15948,421,16031,15196,269,[21],"[539, 21]",[10]
108493,64630,40233,Hip-Hop,Hip-Hop,Folk,16872,11651,7979,18879,13493,77,"[539, 21]","[811, 21]",[17]
72136,78984,75440,Hip-Hop,Hip-Hop,Instrumental,12793,13604,13251,14456,9224,3951,[21],[21],"[107, 18, 1235]"
75927,131425,73343,Hip-Hop,Hip-Hop,Electronic,13303,19793,12979,15323,18872,14900,"[811, 21]",[21],"[296, 15]"
114036,86415,127496,Hip-Hop,Hip-Hop,Instrumental,17582,14551,19279,19459,16031,19461,[21],[21],"[18, 1235]"
121318,98554,29045,Hip-Hop,Hip-Hop,Pop,18416,15947,6247,20304,12271,7271,"[811, 539, 100, 21]","[539, 21]","[10, 76]"
40541,57823,108313,Hip-Hop,Hip-Hop,Experimental,8034,10661,16845,5934,12533,9500,"[100, 21]","[811, 21]",[38]
110778,78849,115125,Hip-Hop,Hip-Hop,Experimental,17152,13584,17678,16031,15601,19535,[21],"[83, 100, 21]","[41, 38]"
111936,10693,35443,Hip-Hop,Hip-Hop,Folk,17282,2645,7307,19201,2631,8610,"[539, 21]",[21],"[17, 103]"
130454,64991,38352,Hip-Hop,Hip-Hop,International,19640,11726,7691,21503,13533,9169,[21],"[811, 21]","[2, 79]"
53381,105683,148121,Hip-Hop,Hip-Hop,Instrumental,9987,16508,22086,8732,18571,23539,"[100, 21]","[539, 21]","[18, 1235]"
147269,695,119592,Hip-Hop,Hip-Hop,Pop,21966,197,18262,22006,138,1821,[21],[21],"[10, 76]"
13199,75377,141137,Hip-Hop,Hip-Hop,Instrumental,3141,13247,21223,3593,12271,22533,[21],[21],"[107, 1235]"
146725,16162,73170,Hip-Hop,Hip-Hop,Folk,21896,3710,12971,23348,4454,14834,[21],[21],[17]
71693,75420,136323,Hip-Hop,Hip-Hop,Electronic,12691,13250,20474,14456,12271,22007,[21],"[539, 21]","[400, 182, 15]"
22091,89195,91228,Hip-Hop,Hip-Hop,Folk,4879,14889,15110,5845,16856,17044,[21],"[100, 21]",[17]
108489,134509,42048,Hip-Hop,Hip-Hop,Pop,16872,20192,8258,18877,21888,6045,"[539, 21]",[21],[10]
63757,13670,50448,Hip-Hop,Hip-Hop,Rock,11515,3221,9545,7473,3739,11374,[21],[21],"[25, 12]"
73550,75415,61814,Hip-Hop,Hip-Hop,Rock,13022,13250,11234,14456,12271,3966,[21],"[539, 21]","[98, 361, 12, 109, 25]"
141566,146153,138320,Hip-Hop,Hip-Hop,Rock,21277,21837,20786,22568,23260,22240,"[100, 21]",[21],"[88, 25, 12, 111]"
94468,105443,44347,Hip-Hop,Hip-Hop,Experimental,15500,16471,8672,3593,18538,7595,[21],[21],"[1, 38, 41]"
110774,72786,106953,Hip-Hop,Hip-Hop,Rock,17152,12921,16654,16031,3593,13017,[21],[21],"[167, 12, 31]"
50264,42040,113028,Hip-Hop,Hip-Hop,Pop,9517,8258,17420,11336,6441,5673,"[811, 21]",[21],"[10, 76]"
55124,137901,67121,Hip-Hop,Hip-Hop,Rock,10278,20720,12032,12085,14456,13937,"[811, 21]",[21],[12]
68592,72789,110109,Hip-Hop,Hip-Hop,Electronic,12257,12921,17051,8732,3593,8657,"[100, 21]",[21],"[240, 297, 15]"
155066,78843,116240,Hip-Hop,Hip-Hop,Electronic,22899,13584,17894,22573,15601,19781,"[811, 21]","[83, 100, 21]","[296, 491, 468, 15]"
69823,13768,17631,Hip-Hop,Hip-Hop,International,12415,3234,3919,14320,3773,4804,"[539, 21]",[21],"[2, 92, 86]"
11787,114274,71512,Hip-Hop,Hip-Hop,Electronic,2898,17607,12672,3089,18587,15496,[21],"[811, 21]","[240, 297, 15]"
64994,90993,90804,Hip-Hop,Hip-Hop,Experimental,11726,15071,15044,13533,17014,16239,"[811, 21]",[21],"[38, 22, 47]"
69904,149118,4511,Hip-Hop,Hip-Hop,International,12434,22221,2042,14328,11979,1423,[21],[21],"[2, 77]"
56641,64523,54155,Hip-Hop,Hip-Hop,Instrumental,10458,11626,10127,11216,13476,11944,[21],[21],"[18, 1235]"
89848,71225,126410,Hip-Hop,Hip-Hop,Instrumental,14962,12637,19105,16894,14543,19461,"[539, 21]","[100, 21]","[18, 1235]"
11770,141562,17609,Hip-Hop,Hip-Hop,International,2898,21277,3981,3089,22568,4799,[21],"[100, 21]","[2, 172]"
98626,70773,42240,Hip-Hop,Hip-Hop,International,15954,12560,8275,17784,14476,1838,"[539, 21]","[21, 542]",[2]
98627,30050,81085,Hip-Hop,Hip-Hop,Folk,15954,6391,13865,17784,7473,15865,"[539, 21]",[21],"[33, 17]"
46726,69904,72206,Hip-Hop,Hip-Hop,Electronic,8973,12434,12820,10700,14328,9576,[21],[21],"[296, 695, 15]"
140621,108846,18124,Hip-Hop,Hip-Hop,Experimental,21155,16894,4158,16031,16031,4995,[21],[21],[38]
98621,12174,82505,Hip-Hop,Hip-Hop,Folk,15953,2964,14001,17784,3217,4450,"[539, 21]",[21],[17]
70768,155066,137722,Hip-Hop,Hip-Hop,Rock,12560,22899,20690,14476,22573,1860,"[21, 542]","[811, 21]","[404, 12, 85]"
72785,55572,54442,Hip-Hop,Hip-Hop,International,12921,10324,10186,3593,11216,11984,[21],[21],"[2, 79]"
97692,123439,115011,Hip-Hop,Hip-Hop,Instrumental,15824,18671,17706,12207,20648,19472,"[539, 100, 21]","[539, 100, 21]",[1235]
55113,97041,38878,Hip-Hop,Hip-Hop,Electronic,10278,15739,7761,12085,15193,9278,"[539, 21]","[539, 21]","[184, 42, 15]"
143290,26025,27547,Hip-Hop,Hip-Hop,Pop,21505,4918,5953,22552,4454,6957,[21],[21],[10]
36992,144212,127267,Hip-Hop,Hip-Hop,Folk,7492,21564,19241,6274,16031,21076,[21],[21],[17]
78852,63804,111149,Hip-Hop,Hip-Hop,Instrumental,13584,11519,17186,15601,5334,16986,"[83, 100, 21]",[21],"[267, 1235]"
109687,145744,133976,Hip-Hop,Hip-Hop,Instrumental,17015,21775,20124,19024,18872,21858,[21],[21],"[18, 1235]"
75412,116407,211,Hip-Hop,Hip-Hop,Folk,13250,17921,84,12271,8693,127,"[539, 21]","[811, 21]",[17]
98565,98551,66643,Hip-Hop,Hip-Hop,Pop,15948,15947,11959,15196,12271,13890,"[539, 21]","[539, 21]",[10]
144172,98623,132045,Hip-Hop,Hip-Hop,Folk,21557,15953,19890,14543,17784,21634,"[539, 100, 21]","[539, 21]","[17, 103]"
78843,78847,111793,Hip-Hop,Hip-Hop,Instrumental,13584,13584,17264,15601,15601,19188,"[83, 100, 21]","[83, 100, 21]","[107, 1235]"
145742,145746,52636,Hip-Hop,Hip-Hop,Electronic,21775,21775,9869,18872,18872,11679,[21],[21],"[181, 15]"
43858,24424,38902,Hip-Hop,Hip-Hop,Experimental,8608,5347,7762,3738,6274,9279,"[811, 21]",[21],"[38, 125, 30]"
61161,142672,135054,Hip-Hop,Hip-Hop,Experimental,11173,21430,20261,12085,22688,20635,"[811, 21]","[811, 83, 100, 21]",[38]
142082,17491,52500,Hip-Hop,Hip-Hop,Folk,18166,3935,9846,19803,4750,11668,[21],"[100, 21]","[17, 103]"
105450,64991,52449,Hip-Hop,Hip-Hop,Instrumental,16471,11726,9838,17695,13533,11662,[21],"[811, 21]","[18, 1235]"
98628,147024,1278,Hip-Hop,Hip-Hop,Experimental,15954,21925,339,17784,16031,222,"[539, 21]",[21],"[38, 22]"
27799,110765,144546,Hip-Hop,Hip-Hop,Folk,5990,17152,21592,7011,16031,17780,[21],[21],"[17, 103]"
121323,100480,82464,Hip-Hop,Hip-Hop,Rock,18416,16100,13998,20304,13450,4120,"[811, 539, 100, 21]",[21],[12]
50264,95915,126899,Hip-Hop,Hip-Hop,Electronic,9517,2402,19182,11336,2283,20146,"[811, 21]",[21],"[42, 468, 15]"
123965,32686,60331,Hip-Hop,Hip-Hop,Experimental,18752,6793,11058,20707,3717,12950,"[539, 21]","[21, 542]","[32, 1, 38]"
149687,26011,54031,Hip-Hop,Hip-Hop,Pop,10174,4918,10113,11979,4454,8376,[21],[21],"[10, 76]"
143290,49479,72067,Hip-Hop,Hip-Hop,Electronic,21505,9417,12773,22552,3168,14670,[21],[21],"[297, 468, 182, 15]"
113033,71249,24898,Hip-Hop,Hip-Hop,Experimental,17421,12639,5463,19302,14544,3307,[21],"[100, 21]","[38, 30]"
108487,12394,148289,Hip-Hop,Hip-Hop,Pop,16872,2991,22108,18877,3350,23544,"[539, 21]",[21],"[362, 10]"
11298,75395,144492,Hip-Hop,Hip-Hop,Experimental,2769,13248,21585,2919,12271,22994,[21],"[539, 21]","[1, 38]"
63789,75375,64594,Hip-Hop,Hip-Hop,Experimental,11515,13247,11647,7473,12271,13466,[21],[21],"[32, 38, 456]"
110085,132954,40659,Hip-Hop,Hip-Hop,Instrumental,17048,20011,8055,16031,21462,9568,[21],"[539, 21]","[18, 1235]"
71691,72129,126189,Hip-Hop,Hip-Hop,Instrumental,12691,12793,19064,14456,14456,20971,[21],[21],"[18, 1235]"
114274,36988,54019,Hip-Hop,Hip-Hop,Experimental,17607,7492,10109,18587,6274,11930,"[811, 21]",[21],[38]
99093,13591,146020,Hip-Hop,Hip-Hop,Instrumental,16020,3199,21824,16031,3594,23246,[21],[21],"[18, 1235]"
136468,6609,12049,Hip-Hop,Hip-Hop,Folk,20500,2011,2930,14456,1882,77,[21],[21],[17]
108498,64994,142565,Hip-Hop,Hip-Hop,International,16872,11726,21404,18878,13533,22684,"[539, 21]","[811, 21]","[2, 79]"
98569,147024,14570,Hip-Hop,Hip-Hop,Instrumental,15948,21925,3371,15196,16031,129,"[539, 21]",[21],"[18, 1235]"
61453,112487,114405,Hip-Hop,Hip-Hop,Rock,11177,17355,17630,12085,16031,19498,[21],[21],"[26, 12]"
60476,119992,74370,Hip-Hop,Hip-Hop,Experimental,11069,18314,13141,12967,20156,15114,[21],[21],"[16, 38, 763, 6]"
13735,129920,127274,Hip-Hop,Hip-Hop,Pop,3229,19576,19242,3770,21421,21077,[21],"[539, 21]",[10]
121322,32689,51157,Hip-Hop,Hip-Hop,Experimental,18416,6793,9648,20304,3717,11461,"[811, 539, 100, 21]","[21, 542]","[224, 38]"
60472,107027,115926,Hip-Hop,Hip-Hop,Folk,11069,16672,17823,12964,12085,19713,[21],[21],"[33, 17, 94]"
129808,146687,16095,Hip-Hop,Hip-Hop,Pop,19557,21896,3690,21393,23348,4427,"[811, 21, 542]",[21],"[10, 76]"
94468,149370,59706,Hip-Hop,Hip-Hop,International,15500,22272,10962,3593,22006,12860,[21],"[539, 21]",[2]
26025,75927,90804,Hip-Hop,Hip-Hop,Experimental,4918,13303,15044,4454,15323,16239,[21],"[811, 21]","[38, 22, 47]"
110264,36302,66717,Hip-Hop,Hip-Hop,Rock,17087,7415,11975,19057,8693,13904,"[539, 21]","[100, 21]","[89, 25, 12, 71]"
69826,13566,72233,Hip-Hop,Hip-Hop,Electronic,12415,3194,12826,14320,3702,11111,"[539, 21]",[21],"[240, 297, 286, 15]"
130454,128668,140576,Hip-Hop,Hip-Hop,Rock,19640,19401,21147,21503,17125,11827,[21],[21],"[25, 12]"
137901,114041,79988,Hip-Hop,Hip-Hop,Folk,20720,17582,13716,14456,19459,15024,[21],[21],"[17, 103]"
75373,89192,104725,Hip-Hop,Hip-Hop,Experimental,13247,14889,16415,12271,16856,13528,[21],"[100, 21]","[1, 250, 38]"
56499,121318,117628,Hip-Hop,Hip-Hop,Folk,10440,18416,18057,4035,20304,19890,"[811, 21]","[811, 539, 100, 21]","[17, 103]"
36983,140609,121651,Hip-Hop,Hip-Hop,Instrumental,7492,21153,18457,6274,16031,11939,[21],[21],"[107, 18, 1235]"
71690,123973,56798,Hip-Hop,Hip-Hop,Electronic,12691,18752,10484,14456,20707,7168,[21],"[539, 21]",[15]
69833,116407,73768,Hip-Hop,Hip-Hop,International,12416,17921,13057,11677,8693,7295,[21],"[811, 21]","[130, 2]"
121320,26035,77521,Hip-Hop,Hip-Hop,Experimental,18416,5637,13456,20304,6643,14774,"[811, 539, 100, 21]",[21],"[224, 1, 38]"
114050,55097,92874,Hip-Hop,Hip-Hop,Experimental,17582,10277,15336,19459,12085,14774,[21],"[811, 21]","[224, 1, 38]"
71231,141564,127865,Hip-Hop,Hip-Hop,International,12637,21277,19314,14543,22568,21105,"[100, 21]","[100, 21]","[2, 77]"
146151,71228,87237,Hip-Hop,Hip-Hop,Electronic,21837,12637,14671,23260,14543,16715,[21],"[100, 21]","[240, 297, 15]"
75393,154307,69727,Hip-Hop,Hip-Hop,Rock,13248,22780,12381,12271,23208,7678,"[539, 21]","[811, 539, 21]","[12, 45, 53, 88, 90]"
100958,89447,24363,Hip-Hop,Hip-Hop,International,16141,14928,5338,18156,8021,6251,[21],[21],"[2, 46]"
71695,65752,14684,Hip-Hop,Hip-Hop,Folk,12691,11836,3426,14456,12085,4070,[21],"[539, 21]","[17, 103]"
123440,79616,112785,Hip-Hop,Hip-Hop,Experimental,18671,13668,17387,20648,15701,19268,"[539, 100, 21]",[21],"[32, 38]"
6610,6605,45149,Hip-Hop,Hip-Hop,Electronic,2011,2011,8767,1882,1882,10418,[21],[21],"[491, 468, 15]"
68592,98576,72215,Hip-Hop,Hip-Hop,Electronic,12257,15949,12820,8732,15196,9576,"[100, 21]","[539, 21]","[296, 695, 15]"
99093,114044,133452,Hip-Hop,Hip-Hop,Instrumental,16020,17582,20057,16031,19459,21803,[21],[21],"[18, 1235]"
75749,108812,36959,Hip-Hop,Hip-Hop,Pop,13285,16889,7491,12271,18921,3222,"[539, 21]",[21],"[10, 362]"
64516,69554,110637,Hip-Hop,Hip-Hop,Rock,11625,12353,17127,13476,14261,18163,[21],[21],"[113, 58, 26, 12]"
11919,11803,74370,Hip-Hop,Hip-Hop,Experimental,2905,2899,13141,3070,3203,15114,[21],[21],"[16, 38, 763, 6]"
55119,63803,131764,Hip-Hop,Hip-Hop,Pop,10278,11519,19851,12085,5334,21598,"[811, 21]",[21],"[10, 76]"
109687,14386,122499,Hip-Hop,Hip-Hop,Pop,17015,3351,18541,19024,3981,11409,[21],[21],[10]
108774,6610,70426,Hip-Hop,Hip-Hop,Pop,16888,2011,12517,18872,1882,13910,[21],[21],[10]
129674,90993,129696,Hip-Hop,Hip-Hop,Folk,19541,15071,19543,17125,17014,9765,[21],[21],"[17, 103]"
61159,56496,74392,Hip-Hop,Hip-Hop,Experimental,11173,10440,13141,12085,4035,15129,"[539, 21]","[811, 21]","[16, 38, 763, 6]"
121314,108499,53591,Hip-Hop,Hip-Hop,Pop,18416,16872,10019,20304,18877,11875,"[811, 539, 100, 21]","[539, 21]","[10, 76]"
71252,140621,6396,Hip-Hop,Hip-Hop,International,12639,21155,1980,14544,16031,1832,"[100, 21]",[21],"[2, 118]"
71250,29718,122356,Hip-Hop,Hip-Hop,Folk,12639,6344,18525,14544,7391,20475,"[100, 21]","[21, 542]","[17, 103]"
132964,26012,65038,Hip-Hop,Hip-Hop,Electronic,20011,4918,11735,21462,4454,13534,"[539, 21]",[21],"[468, 15]"
6606,26021,64249,Hip-Hop,Hip-Hop,Experimental,2011,4918,11583,1882,4454,13445,[21],[21],"[1, 38]"
55113,108494,137563,Hip-Hop,Hip-Hop,Experimental,10278,16872,20661,12085,18880,22177,"[539, 21]","[539, 21]","[514, 38]"
61159,134824,128473,Hip-Hop,Hip-Hop,Instrumental,11173,20238,19384,12085,14456,19461,"[539, 21]",[21],"[18, 1235]"
69564,10693,43698,Hip-Hop,Hip-Hop,International,12353,2645,8574,14261,2631,10183,[21],[21],"[2, 118, 102, 130]"
64519,97988,92535,Hip-Hop,Hip-Hop,Folk,11625,15864,15310,13476,17695,17233,[21],[21],"[17, 103]"
7491,146681,149842,Hip-Hop,Hip-Hop,Experimental,2095,21895,22348,1953,3593,23711,[21],[21],"[41, 38]"
103808,108841,68853,Hip-Hop,Hip-Hop,Folk,16315,16893,12286,18156,3593,14166,[21],[21],[17]
71248,119994,46238,Hip-Hop,Hip-Hop,Experimental,12639,18314,8908,14544,20156,7546,"[100, 21]",[21],"[38, 6]"
134509,70770,6856,Hip-Hop,Hip-Hop,Folk,20192,12560,2040,21888,14476,1615,[21],"[21, 542]",[17]
13561,75395,121651,Hip-Hop,Hip-Hop,Instrumental,3193,13248,18457,3702,12271,11939,[21],"[539, 21]","[107, 18, 1235]"
